songname1,artist1,songname2,artist2,works
Money Trees,"['Kendrick Lamar', 'Jay Rock']",Shaheedo Tumko Mera Salam,['Mohammed Rafi'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Jumpin' Jack Flash,['Ananda Shankar'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Start,['Frank Ocean'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",What We All Want,['Gang Of Four'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Cold Feet,['Lefty Frizzell'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']","Manon Lescaut, Act II:""Dunque questra lettiga? - Tu, tu, amore? Tu?""","['Giacomo Puccini', 'Richard Tucker', 'Dorothy Kirsten', 'Fausto Cleva']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Another Part of Me - 2012 Remaster,['Michael Jackson'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Jo Jo Gunne,['Chuck Berry'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",O Holy Night,['Martina McBride'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']","Yeh Zindagi Usiki Hai, Pt. 2",['Lata Mangeshkar'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Strange Meadow Lark,['The Dave Brubeck Quartet'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Sleeping Single In A Double Bed,['Barbara Mandrell'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Jab Dard Ka Kissa Ham Duniya Ko,['Mohantara Talpade'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Apano Se Trikorfo Vouno,['Marika Papagkika'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",I Wanna Stay Home,['Randy Cade'],0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",I duckinf hatw you,"['Ghostemane', 'Parv0']",0

Money Trees,"['Kendrick Lamar', 'Jay Rock']",Woke Up This Morning,['Freddie King'],1

Money Trees,"['Kendrick Lamar', 'Jay Rock']",O Grande Amor,"['Stan Getz', 'João Gilberto Quintet', 'Antônio Carlos Jobim']",0

